UNIX_TIMESTAMP(ts)	x	y	z
1387624660	0.03125	0.0625	0.5625
1387624665	-0.03125	0.15625	0.90625
1387624669	0.03125	0.15625	1.21875
1387624672	0.03125	0.09375	0.53125
1387624674	0	0.125	1.21875
1387624677	0.03125	0.15625	1.21875
1387624680	0.03125	0	0.65625
1387624682	0.03125	0.125	0.75
1387624685	0	0.09375	0.84375
1387624688	-0.03125	0.15625	1.15625
1387624690	0	0.125	0.53125
1387624695	0.03125	0.15625	0.5625
1387624698	0	0.21875	0.875
1387624700	0	0.21875	0.78125
1387624703	0.03125	0.09375	0.625
1387624706	0	0.1875	0.875
1387624708	0.0625	0.03125	0.59375
1387624711	-0.03125	0.1875	1.21875
1387624713	0.0625	0.1875	0.6875
1387624716	0.03125	0.125	1.0625
1387624719	0	0.21875	0.875
1387624721	0	0.0625	0.90625
1387624724	0.09375	0	0.78125
1387624726	0	0.03125	1.03125
1387624729	0	0.15625	1.125
1387624731	0.0625	0.125	0.65625
1387624734	0	0.125	0.78125
1387624736	0.0625	0.15625	0.90625
1387624739	0	0.1875	1.09375
1387624742	0	0.1875	0.875
1387624745	-0.03125	0.21875	0.84375
1387624749	0.09375	0.1875	0.90625
1387624751	0.09375	0.125	0.96875
1387624754	0.03125	0.0625	0.65625
1387624757	0.125	0.1875	1
1387624759	-0.0625	0.125	0.75
1387624762	0.0625	0.15625	0.96875
1387624765	0.0625	0.03125	0.875
1387624767	0.0625	0.25	0.59375
1387624770	0.03125	0.03125	0.59375
1387624773	0.03125	0.1875	1.0625
1387624775	0.0625	0.09375	0.625
1387624778	0	-0.03125	0.78125
1387624781	0.0625	-0.09375	0.90625
1387624784	-0.03125	0.0625	0.65625
1387624787	0	-0.15625	0.78125
1387624790	-0.03125	0.0625	1.03125
1387624793	0.03125	-0.0625	0.96875
1387624795	0.125	0	0.875
1387624798	0.125	0.03125	0.75
1387624801	0	0.21875	0.90625
1387624804	0.0625	0.1875	0.78125
1387624806	0.125	0.0625	0.84375
1387624809	0.0625	0.09375	0.90625
1387624812	0	0.21875	0.71875
1387624815	0.03125	0.125	0.96875
1387624819	0.0625	0.125	0.90625
1387624821	0.0625	0.125	0.9375
1387624824	0	0.15625	0.8125
1387624827	0	0.09375	0.8125
1387624830	0.125	0.21875	0.90625
1387624832	0.125	0.15625	0.78125
1387624835	0.03125	0.15625	0.84375
1387624838	0.15625	0.09375	0.78125
1387624840	0.03125	0.25	0.90625
1387624843	0	0.15625	1
1387624846	0.125	0.03125	0.6875
1387624848	0.03125	0.03125	0.84375
1387624851	-0.03125	0.25	0.8125
1387624854	0.125	0.1875	0.5625
1387624857	0.15625	0	0.96875
1387624860	0.0625	0.125	0.90625
1387624862	0.03125	0	0.5625
1387624865	-0.03125	0.21875	0.875
1387624868	0.03125	0.1875	1.0625
1387624871	0.21875	0.03125	0.9375
1387624874	-0.09375	0.15625	0.8125
1387624877	0.125	0	0.9375
1387624880	0	-0.03125	0.8125
1387624883	0.0625	-0.0625	0.84375
1387624886	0.03125	0.15625	0.71875
1387624889	-0.03125	0.15625	0.59375
1387624892	-0.09375	0.09375	0.8125
1387624895	0.0625	0.1875	0.65625
1387624897	0	0.25	1.03125
1387624900	0.03125	0.25	0.8125
1387624903	0.125	0.21875	0.96875
1387624906	-0.09375	0.15625	0.96875
1387624909	-0.09375	0.0625	0.84375
1387624911	-0.03125	0.09375	1.0625
1387624914	-0.03125	0	0.8125
1387624917	0.125	0.09375	0.625
1387624920	0	0.125	0.96875
1387624922	0.0625	0.09375	0.9375
1387624925	0.03125	0.0625	0.8125
1387624928	0.15625	0.09375	0.875
1387624930	0.0625	0.15625	0.5625
1387624933	0.0625	0.15625	0.90625
1387624936	0.09375	0.125	0.875
1387624939	0	-0.0625	0.875
1387624941	0.0625	0.125	1.1875
1387624944	0	0.15625	1
1387624947	0	0.1875	0.90625
1387624950	0.15625	0.0625	0.96875
1387624952	0	0.125	0.84375
1387624955	0.09375	0.0625	0.75
1387624958	-0.09375	0.1875	1
1387624961	0.0625	0.15625	0.65625
1387624964	-0.03125	0.3125	1.1875
1387624966	0.03125	0	0.78125
1387624969	0.0625	0.0625	1.0625
1387624972	-0.0625	0.03125	0.59375
1387624975	0.09375	-0.0625	0.9375
1387624977	-0.0625	0.0625	0.78125
1387624980	-0.0625	0.15625	0.625
1387624983	0	0.03125	0.8125
1387624986	0.0625	0.21875	1.375
1387624989	0.09375	-0.0625	0.8125
1387624991	0.09375	0.03125	1.03125
1387624994	0	0.15625	0.53125
1387624997	0.0625	0.125	1.3125
1387625000	0.125	0	1.15625
1387625003	0.09375	-0.09375	0.9375
1387625005	0	0.03125	1.03125
1387625008	0.03125	0.125	1.1875
1387625011	0.03125	0.125	0.53125
1387625014	0.0625	0	1.03125
1387625016	0.03125	0.28125	0.65625
1387625020	0.0625	0	0.96875
1387625023	0.09375	0	0.875
1387625026	0	0.21875	0.84375
1387625029	0.09375	0	0.90625
1387625031	0.0625	0.09375	0.78125
1387625034	0.09375	0.09375	0.875
1387625037	0.09375	0.125	0.71875
1387625039	0	0.1875	0.8125
1387625042	0	0.09375	1.0625
1387625045	-0.03125	0.15625	1
1387625049	0.09375	0.0625	0.875
1387625052	-0.03125	0.15625	1.03125
1387625055	0.03125	0.25	0.71875
1387625058	0.03125	0	1.09375
1387625061	0.03125	0.03125	0.96875
1387625063	0	0.25	0.6875
1387625066	0.0625	0.125	0.90625
1387625069	0.03125	0.25	0.6875
1387625072	0.03125	0	1.03125
1387625075	0.03125	0.09375	0.96875
1387625077	0.0625	0.15625	0.875
1387625080	0.0625	0	1.03125
1387625085	0.0625	0.25	0.71875
1387625087	-0.03125	0.28125	0.71875
1387625091	0.0625	0.1875	0.65625
1387625094	-0.03125	0.09375	0.90625
1387625096	0.0625	0.15625	0.71875
1387625099	-0.03125	0.15625	0.84375
1387625102	0.0625	0.15625	0.75
1387625105	0.03125	0.125	0.875
1387625108	0	0.1875	0.6875
1387625111	0	0.15625	0.6875
1387625114	0.03125	0.15625	0.84375
1387625116	0.03125	0.125	0.75
1387625119	0.03125	0.1875	0.71875
1387625122	0.0625	0.15625	0.84375
1387625125	0.03125	0.21875	0.6875
1387625129	0.0625	0.1875	0.84375
1387625131	0.03125	0.125	1.0625
1387625134	0	0.21875	0.6875
1387625137	0.03125	0.21875	0.8125
1387625139	0.03125	0.03125	1.0625
1387625142	0.03125	0.21875	0.65625
1387625145	0.03125	0.15625	0.71875
1387625148	0.03125	0.1875	0.71875
1387625150	0.03125	0.21875	0.75
1387625153	0	0.1875	0.65625
1387625156	0.03125	-0.03125	1
1387625162	0.0625	0	1.0625
1387625166	0.03125	0.125	0.9375
1387625168	0	0.03125	1
1387625171	0	0.1875	0.9375
1387625174	0.125	0.0625	0.8125
1387625177	0.125	0.125	0.90625
1387625180	-0.0625	0.15625	0.875
1387625182	-0.0625	0.0625	0.625
1387625186	-0.03125	0.125	0.8125
1387625189	0	0.03125	0.78125
1387625192	-0.0625	0.1875	0.625
1387625196	-0.0625	0.125	0.8125
1387625198	0.15625	0.0625	0.84375
1387625203	0.0625	0.09375	0.8125
1387625206	-0.09375	0.15625	0.84375
1387625209	0	0.15625	0.6875
1387625212	0.0625	0.0625	0.75
1387625214	0	0.15625	0.75
1387625217	0	0.1875	1
1387625220	0.15625	0.28125	1.09375
1387625222	0.03125	0.15625	0.875
1387625225	0.03125	0.125	0.5625
1387625228	0.125	0.1875	0.875
1387625231	0.09375	0.15625	0.78125
1387625234	-0.0625	0.28125	0.875
1387625237	0	0.03125	0.9375
1387625240	0.03125	0.03125	0.8125
1387625243	-0.03125	0.25	0.875
1387625246	0.09375	-0.03125	0.84375
1387625248	-0.03125	0.09375	0.84375
1387625252	0.0625	0	0.84375
1387625254	0	-0.03125	0.8125
1387625257	0.0625	0	0.875
1387625260	0.0625	-0.03125	0.96875
1387625263	0.09375	-0.03125	0.75
1387625267	-0.03125	0.0625	0.9375
1387625269	0.0625	0.125	0.875
1387625272	0.03125	-0.0625	0.75
1387625275	0.0625	0.09375	0.78125
1387625278	0.09375	0	0.8125
1387625280	0.09375	0.09375	0.90625
1387625283	0.09375	0	1.125
1387625286	0.0625	0	0.5
1387625289	0	0.0625	0.90625
1387625292	0	0.125	0.8125
1387625294	0	0.0625	0.9375
1387625297	0	0.125	0.875
1387625300	0.0625	0.03125	0.84375
1387625303	0.03125	0.03125	0.875
1387625307	0.0625	-0.0625	0.90625
1387625310	0.03125	0.125	0.96875
1387625313	0	0.09375	0.90625
1387625315	0.0625	0	0.90625
1387625318	0.0625	0	1
1387625321	0.125	0.0625	1.09375
1387625324	0.09375	0.0625	0.90625
1387625326	0.03125	-0.03125	0.84375
1387625329	0	-0.03125	0.75
1387625332	0	0.0625	0.90625
1387625335	0.09375	0.0625	0.71875
1387625337	0	0.09375	0.9375
1387625340	0.0625	0.09375	0.71875
1387625343	0.09375	0.0625	1
1387625346	0.09375	0.0625	0.78125
1387625349	0.09375	-0.03125	0.875
1387625352	0.09375	-0.03125	1.09375
1387625354	0.09375	0.03125	0.8125
1387625357	0.03125	0.125	1
1387625360	-0.03125	0.09375	0.84375
1387625363	0.0625	0	0.875
1387625366	0	0.0625	0.90625
1387625369	0.03125	-0.09375	0.65625
1387625372	0.09375	0.03125	0.84375
1387625375	0.09375	0.03125	1
1387625379	0.03125	0.09375	0.9375
1387625381	0.03125	0	0.875
1387625384	0.09375	-0.0625	0.75
1387625387	0.03125	0.03125	0.78125
1387625389	0.0625	0.0625	0.78125
1387625392	0.15625	-0.09375	0.78125
1387625395	0	0.09375	0.96875
1387625398	0.03125	-0.03125	0.75
1387625401	0.125	-0.0625	1
1387625403	0.03125	0.09375	0.90625
1387625406	-0.03125	-0.0625	0.8125
1387625410	0.03125	0.09375	0.9375
1387625413	0.0625	0	0.84375
1387625416	0.0625	0.03125	0.84375
1387625419	0.09375	0	0.875
1387625421	0.0625	0.03125	0.875
1387625424	0	-0.03125	0.84375
1387625427	0.03125	-0.0625	0.84375
1387625430	0	0.09375	0.8125
1387625433	0.09375	-0.03125	0.90625
1387625436	0.03125	0.0625	0.90625
1387625438	0.03125	0.03125	0.84375
1387625441	0	0.0625	0.875
1387625444	0.03125	0.0625	0.875
1387625447	0.09375	-0.0625	0.90625
1387625449	0.0625	0.03125	0.84375
1387625452	0.125	-0.09375	0.90625
1387625455	0.03125	-0.0625	0.84375
1387625457	0.03125	0.0625	0.84375
1387625460	0	0.0625	0.78125
1387625463	0.03125	-0.03125	0.875
1387625466	0.0625	0	0.90625
1387625469	0.03125	0.0625	0.84375
1387625471	0.03125	0.0625	0.84375
1387625474	0.0625	0.03125	0.84375
1387625477	0.0625	0.0625	0.9375
1387625479	0.09375	0.03125	0.9375
1387625482	0.03125	0.03125	0.875
1387625485	0.09375	0	0.9375
1387625488	0.0625	0.03125	0.875
1387625491	0.03125	0.0625	0.90625
1387625493	0.03125	-0.03125	0.875
1387625495	0.09375	-0.03125	0.8125
1387625499	0.0625	0.03125	0.875
1387625501	0.09375	0	0.9375
1387625504	0.125	0.03125	0.90625
1387625507	0.0625	0	0.90625
1387625509	0.0625	0	0.9375
1387625512	0.09375	-0.0625	0.90625
1387625516	0.09375	0	0.90625
1387625519	0	0.0625	0.875
1387625522	0.0625	-0.0625	0.90625
1387625525	0.0625	0	0.90625
1387625527	0.125	0.0625	0.875
1387625530	0.0625	0	0.90625
1387625533	0.09375	0.03125	0.875
1387625535	0	0	0.84375
1387625538	0.03125	-0.03125	0.8125
1387625541	0	-0.03125	0.90625
1387625543	0.03125	0.03125	0.9375
1387625548	0.0625	-0.03125	0.84375
1387625553	0.03125	0.0625	0.8125
1387625555	0	0.03125	0.8125
1387625558	-0.03125	0	0.9375
1387625561	0.0625	0.03125	1.09375
1387625563	0.0625	0.03125	1
1387625566	0.03125	0.0625	0.96875
1387625569	0.0625	0.09375	0.96875
1387625572	0.09375	0.0625	0.875
1387625575	0.03125	0.03125	0.96875
1387625578	0.03125	0.0625	0.90625
1387625581	0	0.03125	0.96875
1387625583	0.0625	0.03125	0.9375
1387625587	0.03125	-0.03125	0.9375
1387625589	0.03125	-0.03125	0.9375
1387625592	0	0.03125	0.90625
1387625595	0.03125	0.03125	0.9375
1387625597	0.03125	0.03125	0.96875
1387625600	0.0625	0	0.9375
1387625603	0.09375	0.03125	0.9375
1387625606	0.0625	-0.03125	0.96875
1387625608	0.03125	0.0625	0.875
1387625611	0.03125	-0.0625	0.9375
1387625614	0.03125	0.03125	0.9375
1387625617	0.0625	0.0625	0.90625
1387625621	0.03125	0.03125	0.8125
1387625624	0.125	-0.03125	0.875
1387625627	0.09375	-0.03125	0.9375
1387625630	0.0625	0.0625	0.84375
1387625633	0.03125	-0.0625	0.875
1387625636	0.0625	0.0625	0.90625
1387625638	0.03125	0.0625	0.875
1387625641	0.09375	0.0625	0.9375
1387625644	0.03125	0	0.90625
1387625646	0.03125	0.03125	0.9375
1387625649	0.0625	0	0.875
1387625652	0.03125	0.0625	0.84375
1387625654	0.03125	0.03125	0.8125
1387625657	0.0625	0	0.9375
1387625659	0.03125	-0.03125	0.84375
1387625663	0.125	-0.0625	0.875
1387625666	0.03125	0.03125	0.84375
1387625668	0.0625	0	0.875
1387625671	0.03125	0.0625	0.875
1387625674	0.09375	-0.0625	0.9375
1387625676	0.03125	0.0625	0.84375
1387625679	0.03125	0.03125	0.875
1387625682	0.0625	0	0.96875
1387625685	0.03125	0.0625	0.84375
1387625688	0.09375	0.0625	0.84375
1387625690	0.09375	-0.03125	1
1387625693	-0.03125	0.03125	0.9375
1387625696	0.03125	-0.03125	1.03125
1387625699	0.0625	0.0625	1.15625
1387625702	0	0.03125	1.03125
1387625704	0.09375	-0.0625	1
1387625707	0	0.0625	1
1387625710	0.03125	0.03125	1.09375
1387625712	0.03125	-0.03125	1.0625
1387625715	-0.03125	0.03125	0.96875
1387625718	0.0625	0.0625	0.96875
1387625721	0.03125	-0.0625	0.9375
1387625724	0.09375	0.03125	0.96875
1387625727	-0.03125	0	0.9375
1387625731	0.125	-0.0625	0.9375
1387625733	0	-0.03125	1.09375
1387625736	0.0625	-0.0625	1
1387625739	0.125	0	1.125
1387625742	-0.03125	-0.0625	1.1875
1387625744	0.0625	0.03125	1.03125
1387625747	0	-0.03125	0.71875
1387625750	0.09375	0	0.9375
1387625753	0.09375	-0.09375	0.90625
1387625756	0	0.03125	0.9375
1387625758	0.0625	0.03125	0.875
1387625762	0.09375	0.03125	0.875
1387625764	0.03125	0.03125	0.84375
1387625767	0.03125	0.03125	0.84375
1387625770	0.03125	-0.03125	0.875
1387625772	0	0.03125	0.96875
1387625775	0.03125	0.03125	0.84375
1387625778	0.0625	-0.0625	0.90625
1387625780	0.0625	0.03125	0.90625
1387625783	0.0625	0.03125	0.84375
1387625786	0	0	0.90625
1387625789	0.03125	-0.03125	0.90625
1387625791	0.03125	-0.03125	0.90625
1387625794	0.03125	0.09375	0.75
1387625797	-0.0625	0.0625	0.84375
1387625800	0.09375	0.03125	1
1387625803	0	0.03125	1.03125
1387625805	0.03125	0.03125	0.8125
1387625808	0.125	-0.0625	0.875
1387625811	-0.0625	0	0.9375
1387625813	0.1875	-0.03125	0.96875
1387625816	0.03125	-0.03125	1
1387625819	0.0625	0	0.875
1387625822	0.03125	0.03125	0.96875
1387625825	0.03125	0	0.8125
1387625827	0	0.03125	0.8125
1387625830	0.0625	0.0625	0.96875
1387625833	0.03125	0	0.84375
1387625836	0	0.03125	0.96875
1387625838	0.0625	0.03125	0.78125
1387625841	0.0625	0.03125	0.90625
1387625844	0.0625	0.0625	0.875
1387625846	0.0625	0.03125	0.9375
1387625849	0.0625	0.09375	0.90625
1387625853	0.0625	0.0625	0.8125
1387625856	0	-0.03125	0.84375
1387625858	0.0625	0.03125	0.8125
1387625861	0.0625	0.03125	0.875
1387625864	0.0625	0.03125	0.875
1387625866	0.0625	0.0625	0.875
1387625869	0.0625	0.03125	0.90625
1387625872	0.0625	0	0.875
1387625875	0.0625	-0.0625	0.90625
1387625878	0.09375	0.03125	0.8125
1387625880	0.09375	0.03125	0.84375
1387625883	0.09375	0.03125	0.84375
1387625886	0.03125	0.03125	0.84375
1387625889	0.03125	0.03125	0.84375
1387625892	0.0625	-0.0625	0.9375
1387625895	0.03125	0.03125	0.90625
1387625897	0.125	-0.0625	0.875
1387625900	0.125	-0.0625	0.875
1387625903	0.03125	-0.0625	0.875
1387625906	0.03125	0.03125	0.84375
1387625909	0.0625	0	0.8125
1387625911	0.0625	0.03125	0.90625
1387625914	0.15625	-0.09375	0.90625
1387625917	0.03125	-0.0625	0.875
1387625920	0.15625	-0.0625	0.84375
1387625922	0.03125	-0.03125	0.84375
1387625925	0.09375	0	0.84375
1387625928	0.0625	0.0625	0.90625
1387625930	0.03125	0	0.875
1387625933	0.03125	0.0625	0.875
1387625936	0.125	-0.09375	0.96875
1387625939	-0.09375	-0.0625	0.75
1387625941	0.09375	-0.09375	0.9375
1387625945	0	-0.1875	0.78125
1387625947	0.125	-0.0625	0.875
1387625950	0.09375	-0.09375	0.9375
1387625953	0.09375	-0.125	0.96875
1387625955	0.0625	-0.0625	0.875
1387625959	0.0625	-0.09375	0.96875
1387625962	-0.03125	0	0.75
1387625964	0.09375	-0.15625	0.90625
1387625967	0.09375	-0.125	0.875
1387625970	0.09375	-0.03125	0.9375
1387625972	0.125	-0.03125	0.875
1387625977	0	-0.125	0.8125
1387625979	0.0625	-0.125	0.75
1387625985	0.03125	-0.125	0.90625
1387625987	0.09375	-0.15625	0.96875
1387625990	0.03125	-0.125	0.9375
1387625993	0.03125	-0.09375	0.8125
1387625996	0.03125	-0.09375	0.71875
1387625998	0.03125	-0.125	0.84375
1387626001	0.03125	-0.125	0.90625
1387626004	-0.0625	-0.09375	0.78125
1387626007	0.09375	-0.0625	1.40625
1387626009	0.0625	-0.0625	1
1387626012	0.0625	-0.15625	0.625
1387626015	0.0625	-0.0625	1.03125
1387626018	0	-0.09375	0.9375
1387626020	0.09375	-0.15625	0.875
1387626023	0.0625	-0.21875	0.8125
1387626026	0.09375	-0.25	0.8125
1387626029	0	-0.15625	0.84375
1387626032	0.125	-0.21875	0.9375
1387626035	0.125	-0.03125	1.21875
1387626038	0.0625	-0.03125	1.09375
1387626040	0.0625	-0.15625	0.90625
1387626043	0.03125	-0.09375	0.9375
1387626046	0.0625	-0.125	0.90625
1387626049	0.0625	-0.09375	1.03125
1387626053	0.0625	-0.03125	1
1387626056	0.0625	-0.03125	1.0625
1387626059	0.09375	-0.0625	0.96875
1387626062	0	-0.0625	0.75
1387626065	0.0625	-0.0625	0.78125
1387626067	0.0625	-0.03125	0.9375
1387626070	0.03125	0	0.96875
1387626073	0.03125	0.03125	0.9375
1387626076	0.03125	0	0.90625
1387626079	0.09375	0	0.875
1387626081	0.09375	0.03125	0.875
1387626084	0.0625	0.03125	0.875
1387626087	0.0625	0.03125	0.78125
1387626090	0.0625	0.03125	0.90625
1387626096	0.03125	0.0625	0.84375
1387626099	0.09375	0.125	0.875
1387626101	0.03125	0.125	0.78125
1387626104	0.0625	0.21875	0.90625
1387626107	-0.03125	0.1875	0.84375
1387626110	0.03125	0.15625	0.9375
1387626113	0.09375	0.1875	0.875
1387626115	0.03125	0.1875	0.71875
1387626118	0.0625	0.1875	0.8125
1387626121	-0.0625	0.1875	0.84375
1387626123	0.125	0.28125	0.8125
1387626127	0.28125	0.15625	0.84375
1387626130	0.125	0.15625	0.75
1387626133	0.15625	0.25	0.96875
1387626136	-0.03125	0.21875	0.9375
1387626139	0.0625	0.15625	0.84375
1387626142	-0.03125	0.1875	0.90625
1387626145	0.03125	0.21875	0.8125
1387626147	0.0625	0.15625	0.75
1387626151	0.0625	0.15625	0.8125
1387626153	0.09375	0.15625	0.8125
1387626156	0	0.1875	0.8125
1387626159	0.09375	0.15625	0.84375
1387626161	0.0625	0.15625	0.78125
1387626164	0.0625	0.1875	0.84375
1387626167	0.0625	0.1875	0.84375
1387626169	0.0625	0.1875	0.84375
1387626172	0.0625	0.1875	0.84375
1387626175	0.0625	0.1875	0.84375
1387626178	0.0625	0.1875	0.84375
1387626180	0.0625	0.1875	0.84375
1387626183	0.09375	0.1875	0.84375
1387626186	0.0625	0.1875	0.84375
1387626189	0.0625	0.1875	0.875
1387626192	0.0625	0.1875	0.84375
1387626194	0.0625	0.21875	0.84375
1387624664	0	0	0
1387624671	0	0	0
1387624693	0	0	0
1387624696	0	0	0
1387624699	0	0	0
1387624702	0	0	0
1387624704	0	0	0
1387719953	0	0	0
1387719956	0	0	0
1387719959	0	0	0
1387719963	0	0	0
1387719965	0	0	0
1387719968	0	0	0
1387719972	0	0	0
1387719974	0	0	0
